ענף,מזהה גרסה,תאריך ראש,ייחודי לברירת מחדל,ייחודי לענף,קבצים שונים מול ברירת מחדל,commits שאינם ב־develop
add-blendit-extension,eb2a137ae659072d910798b4e2115372dcccb4c8,2026-07-01T06:08:27Z,32,2,27,2
claude/secure-github-token-storage-WpVP3,dd0301fe2e4ec9ff6ab256cb84209eb1cd95c17c,2026-06-17T11:20:11+02:00,116,12,125,12
copilot/add-solution-proposal-for-issue-3303,b6f9b547b8063cb0cf7ec8e6566cb54ce936b77f,2026-04-14T20:32:16+02:00,634,0,1308,0
copilot/check-dll-signing-status,6081462c62f64a5cb30ca60cbc7857d4834dcae2,2026-02-27T12:03:22Z,1106,1,1434,1
copilot/explore-codebase-ofna-fix,626d4e0348f5e1aa6d2be4d91876ba74cbf39c1f,2026-07-21T16:14:08Z,0,0,0,0
copilot/fix-3619-issue-with-x,fa16d0315c9dc6c9f25887b498c02e9fef60429f,2026-09-09T10:54:41+02:00,0,395,450,0
copilot/fix-custom-tools-dynamo-scripts,3e57d7bb83e1a6444baf15f33a70093f662150d1,2026-09-09T22:27:15+02:00,0,398,451,3
copilot/fix-extension-startup-py-scripts,c06c6a77a7a4ae817cd06f7b77dc83593b71ab1f,2026-09-05T09:48:19Z,0,369,413,0
copilot/git-tag-v6-5-5,d9ea5286aeeea61a1e858e9be87881f62df7963a,2026-08-25T18:33:47+02:00,0,231,320,0
copilot/handle-comments-from-romans-review,b7c4380c4edddca5ada7fda42853baf76cc28359,2026-08-26T13:08:36+02:00,0,272,363,0
copilot/review-dependabot-vulnerability-68,6e2555468214a2c36bd439516551099dac7441e4,2026-05-22T08:04:44+02:00,451,0,1221,0
copilot/review-latest-pr,70524a36b4cdb5bcfa00e5696583f994d227b194,2025-11-11T19:26:28Z,2129,1,1731,1
cursor/bump-654-d042,91e21a48ca67cc4d678abce95eee4c48aad58b7a,2026-06-25T22:41:54+02:00,34,3,32,3
cursor/fix-admin-install-config-save-9130,1b64be9292b4433da19dacea20b7ccfbdbab3a6f,2026-07-24T20:54:07+02:00,0,71,47,0
cursor/fix-ci-binaries-prune-d938,d8eb6cc7c7377add4dc528187f2b75b817eaf6a2,2026-08-16T13:40:29+02:00,0,178,138,0
cursor/persist-extension-credentials-6417,11f79e85d875bbf4e456d5cbe3fd911289cd7680,2026-07-23T20:23:32Z,0,64,44,0
cursor/release-653-d042,90e57d477660938fff37129f51e4152c2ac8ba43,2026-06-25T20:17:42Z,35,1,34,1
cursor/release-654-a0d3,54fb4a9f7f44eb2ee5175320689c097519c20bc4,2026-08-16T11:47:24Z,0,159,100,1
cursor/release-654-to-master-a0d3,54fb4a9f7f44eb2ee5175320689c097519c20bc4,2026-08-16T11:47:24Z,0,159,100,1
develop,7782e50268c9ee12fe0dacda32de92b8e5f0ec1f,2026-09-13T17:44:45+02:00,0,511,1073,0
docs,866e5df7cd9be01327fdf413392faa775711c7b0,2026-06-22T19:24:26+02:00,54,2,71,2
feat/keynote-multi-project-and-clipboard,c50eab1a31538f215e0fd276f3c6406faab7e189,2026-09-13T00:48:35-07:00,0,472,491,6
feature/universal-ui-host-poc,ac2cf2dcadecd384f3fac51c013f4438f3aae4c3,2026-09-09T09:26:19+02:00,0,389,439,9
features/configuration,a36e75569af91c6e42b80d76cd007d2cfb4df52a,2026-02-27T08:29:21+01:00,2327,54,1803,54
fix/config-read-telemetry-path,f48b3be01253e93b08b13cf1c736d64d9073a572,2026-07-06T18:31:46+02:00,8,0,16,0
fix/keynote-modeless-bundle-and-close-reentrancy,43c8f7ebb0a1829b44a25bf8fb2c6d772ef6133b,2026-09-13T01:30:42-07:00,0,512,1082,8
fix/normalize-revit-uiapplication-builtin,169819d8a2ac471ebef1a0f7a7503d1a40137e99,2026-09-12T03:54:30+02:00,0,470,488,4
fix/output-window-regressions,27187f7164c2a22f1eef3c2cceeef55d264e3711,2026-08-26T20:37:34+02:00,0,278,369,0
fix/routes,c7d90cb4b8dc16d11cfcf71adee1125faac09c89,2026-09-09T23:13:02+02:00,0,404,453,0
fix/winget-exe-only,baddc92f34ab3e8ab060443b4b0544d641eed90b,2026-08-26T11:53:21+02:00,0,165,103,7
gh-pages,efeed2dd32f1816cc26da7ff9f23380cd606bc5d,2026-08-21T06:31:25Z,9724,1,3995,1
master,b4bcea35088a28e8b824aa302d9aa50b4ff0c41f,2026-08-26T13:05:36+02:00,0,166,103,8
tay0thman-KM-1,239da03e5bb9c02c1623f2702d1984ac2d2bb9c7,2026-09-08T10:42:45-07:00,0,378,414,0
