נתיב,תפקיד משוער לפי קבוצה ותוכן,בתים,מזהה Git,SHA256,סוג,כיסוי,מחלקות ופעולות שחולצו,תלויות שחולצו
.cursor/worktrees.json,הגדרות סביבת עורך,185,01e541a149028fe32da9012aa0f659cd85dd505b,6aefe88fd1c6d2eff488d1eb4e24f777ef815e118d030e36619f6e1b07ab1c34,text,קריאה מכנית של טקסט; ניתוח עומק אינו מוכח לכל קובץ,,
.gitattributes,קובץ שורש: .gitattributes; נדרש פירוש לפי תוכנו,2518,1ff0c423042b46cb1d617b81efb715defbe8054d,45a7cbb7d9942ba7ffce0b20bc8dbe2d1196533bc6e4bd245871d77fb1eedfdc,text,קריאה מכנית של טקסט; ניתוח עומק אינו מוכח לכל קובץ,,
.github/FUNDING.yml,"הגדרות אוטומציה, הנחיות סוכנים ודיווח תקלות",618,980064dacb845b44ee0b81166a7dd4401d22cd8c,b711ee1ad065ff8f16183e884b3aee23f960c6c70183e86e03104448fc0faa74,text,קריאה מכנית של טקסט; ניתוח עומק אינו מוכח לכל קובץ,,
.github/ISSUE_TEMPLATE/BUG_REPORT.yml,"הגדרות אוטומציה, הנחיות סוכנים ודיווח תקלות",3807,75e630d7539d9c64b460d9fc1e4cd8ba8a4caf48,b6e6b831abad92f5ef7563245f2688e844b2ead971f3204acde915a5c7947a94,text,קריאה מכנית של טקסט; ניתוח עומק אינו מוכח לכל קובץ,,
.github/ISSUE_TEMPLATE/FEATURE_REQUEST.md,"הגדרות אוטומציה, הנחיות סוכנים ודיווח תקלות",613,d700a8c4fac92628720885742f6ace51d38d17ae,94c13d6f27ba46630831e27b29d0be23ba102549138a292542bbfc4ac4a28aaf,text,קריאה מכנית של טקסט; ניתוח עומק אינו מוכח לכל קובץ,,
.github/ISSUE_TEMPLATE/config.yml,"הגדרות אוטומציה, הנחיות סוכנים ודיווח תקלות",28,3ba13e0cec6cbbfd462e9ebf529dd2093148cd69,1f103c6a9dd07cd13a9a6f17ace6b813f47747eb9cb7e00488cb2073caaf91bb,text,קריאה מכנית של טקסט; ניתוח עומק אינו מוכח לכל קובץ,,
.github/PULL_REQUEST_TEMPLATE.md,"הגדרות אוטומציה, הנחיות סוכנים ודיווח תקלות",898,aaef459845aef6b5b5e121e1a510f9d03a8efc13,148e530922535ff857fcdbbaf923a346308ab713f66ad0e9c08e3e6f3e4086c1,text,קריאה מכנית של טקסט; ניתוח עומק אינו מוכח לכל קובץ,,
.github/copilot-instructions.md,"הגדרות אוטומציה, הנחיות סוכנים ודיווח תקלות",6782,81b0797990242357d47e0f79c2de6e2929c4c8c7,4bd7dfc033eda432fcb6a9d64b3dd1ea28b5f39b7fc70cdffe97692a070b4ce8,text,קריאה מכנית של טקסט; ניתוח עומק אינו מוכח לכל קובץ,,
.github/dependabot.yml,"הגדרות אוטומציה, הנחיות סוכנים ודיווח תקלות",794,cf9e0e0be265a1a9c91604324fc2b72037459aad,2c208d4ef426e251975ec0ad615821c043ba994af87f27987c58080304eab348,text,קריאה מכנית של טקסט; ניתוח עומק אינו מוכח לכל קובץ,,
.github/slash-commands.yml,"הגדרות אוטומציה, הנחיות סוכנים ודיווח תקלות",927,984a7f7fa98cfc5ec05a8744a4f54187daecd89d,c18af613dd15906a429104969b9b58617634897fe6917688a7c76fa59b775748,text,קריאה מכנית של טקסט; ניתוח עומק אינו מוכח לכל קובץ,,
.github/workflows/ci.yml,הוראות לתהליך אוטומטי בשרת GitHub,10545,4d2942b531218efaba566181e6e61f9b0e4123bb,271dcd0413b1889881057f7a741a6fce1800fdb65c51996097460faf0ea9e4b0,text,קריאה מכנית של טקסט; ניתוח עומק אינו מוכח לכל קובץ,,
.github/workflows/docs.yml,הוראות לתהליך אוטומטי בשרת GitHub,763,035efd3338dba09dcaa43ccdfcaedd8f9a157fe4,d5425f3721afc7fed4c2a409a83323c638b7db8c5ae7e188fce6141ea62b49b4,text,קריאה מכנית של טקסט; ניתוח עומק אינו מוכח לכל קובץ,,
.github/workflows/issues-manager.yml,הוראות לתהליך אוטומטי בשרת GitHub,530,fba46c08dc6cb25662dd15722f64f01ec0b2af28,43255b52ccbb219841c5595ac41990615e81ef43cdb67aab10eadac9751449e4,text,קריאה מכנית של טקסט; ניתוח עומק אינו מוכח לכל קובץ,,
