תג,מזהה אובייקט,מזהה commit,קבצים
ci-binaries,7c6859b5d4eb6a3c7006cb6ee0447bdf357b635c,7c6859b5d4eb6a3c7006cb6ee0447bdf357b635c,3730
cli-v0.10.0.0,875e3b295762ad85d30dfe20242993e4dcfa573a,875e3b295762ad85d30dfe20242993e4dcfa573a,5190
cli-v0.11.0.0,c88b5257250f077d2df5923c3db3b8fa68161672,c88b5257250f077d2df5923c3db3b8fa68161672,5193
cli-v0.13.0.0,5ffb6601840cf7396082cdb9957fa7e8e6b484d6,5ffb6601840cf7396082cdb9957fa7e8e6b484d6,5186
cli-v0.14.0.0,687357f8b8047ba6226b6ffa3208c2413f670f8c,687357f8b8047ba6226b6ffa3208c2413f670f8c,5381
cli-v0.15.0.0,52c492d6da9f6b6d8c6b987932b66e4f60eb3d24,52c492d6da9f6b6d8c6b987932b66e4f60eb3d24,5401
cli-v0.16.0.0,97814d89b68994e26450193b4469c40fbb62757c,ad18b582c00c1b8c919919a2a341d7aa73a302a6,5414
cli-v0.17.0.0,f33636ad2d3d167acd69c11be7f69f1a0b543808,6b7c0d8d2f0ad3ce5fb15cff1b2e4b4fd6c3480b,5443
cli-v0.21.0.0,438b9c590555749f5335d9ec8e1da013b5b6a26d,4bdb3214e245321a88cf7e5ad482b0fe974ce3ef,5455
cli-v0.25.0.0,a9e6cb2ee5217ec5bd86a50af4af384ac1ab3497,1c3fbce20937eec617e647d0c70e82d66cc1031a,5471
cli-v0.6.0.0,512702478630f9bc28b270cc2729524366b3fb6a,512702478630f9bc28b270cc2729524366b3fb6a,5064
cli-v0.9.0.0,e6de25bfb5e862672efd1d8e0b34f028b5991b84,e6de25bfb5e862672efd1d8e0b34f028b5991b84,5080
cli-v0.9.6.0,f27f95c2a4fba2d7e87a36f05efc8ba2ccd1e167,f27f95c2a4fba2d7e87a36f05efc8ba2ccd1e167,5102
cli-v0.9.7.0,7cf5b06eaba1c41a65ef9a24574599792ec2749a,7cf5b06eaba1c41a65ef9a24574599792ec2749a,5103
cli-v0.9.8.0,b0688f4c7b7a67f202fea625737338f40b91bb4e,b0688f4c7b7a67f202fea625737338f40b91bb4e,5097
cli-v4.8.0.0,4caa1c5c61ebbb6d9bb3e5e4986f64037c7fca4e,b2a4843bd4570e2fc6622758e4ea060f70813e58,5450
